locality,city,area,beds,bathrooms,balconies,furnishing,area_rate,rent
Old Madras Road,Bangalore,1150.0,3,3,2,Semi-Furnished,39.0,45000.0
Varthur,Bangalore,2750.0,3,3,3,Unfurnished,36.0,100000.0
Prabhadevi,Mumbai,3042.0,5,5,0,Semi-Furnished,247.0,750000.0
Mayur Vihar 1,New Delhi,900.0,2,2,2,Semi-Furnished,37.0,33000.0
Sector 9 Rohini,New Delhi,1600.0,4,3,0,Semi-Furnished,31.0,50000.0
Mohammadpur Majri,New Delhi,1000.0,1,1,0,Unfurnished,6.0,6000.0
Koramangala,Bangalore,900.0,2,2,0,Semi-Furnished,33.0,30000.0
Sinhgad Road,Pune,800.0,2,2,2,Furnished,28.0,22000.0
Whitefield,Bangalore,1253.0,3,2,0,Furnished,52.0,65000.0
Nandi Hills,Bangalore,7900.0,4,5,2,Furnished,61.0,480000.0
Anjanadri Layout,Bangalore,350.0,1,1,0,Semi-Furnished,29.0,10000.0
Hinjewadi,Pune,636.0,2,2,0,Semi-Furnished,39.0,25000.0
Viman Nagar Central,Pune,250.0,1,2,0,Furnished,72.0,18000.0
Mahalakshmi,Mumbai,2002.0,3,3,0,Furnished,187.0,380000.0
Kandivali East,Mumbai,1295.0,3,3,0,Unfurnished,62.0,80000.0
Bhayandar East,Mumbai,900.0,2,2,0,Unfurnished,21.0,18500.0
Mayur Vihar 1,New Delhi,1176.0,2,2,0,Semi-Furnished,28.0,33000.0
Dhayari Phata,Pune,850.0,3,3,3,Semi-Furnished,31.0,26000.0
Jivan Park Rani Bagh,New Delhi,630.0,2,1,0,Unfurnished,17.0,10500.0
Kharadi,Pune,900.0,3,3,2,Semi-Furnished,49.0,44000.0
Govindpuri,New Delhi,450.0,1,1,0,Unfurnished,22.0,10000.0
Thanisandra,Bangalore,627.0,2,2,3,Semi-Furnished,56.0,35000.0
Mira Bhayandar,Mumbai,650.0,2,2,0,Semi-Furnished,25.0,16000.0
Mira Road,Mumbai,1800.0,3,3,0,Unfurnished,139.0,250000.0
Andheri West,Mumbai,930.0,3,2,0,Unfurnished,124.0,120000.0
Kasturi Nagar,Bangalore,800.0,2,2,0,Semi-Furnished,26.0,21000.0
Kharadi,Pune,1050.0,2,2,2,Semi-Furnished,35.0,37000.0
Borivali East,Mumbai,430.0,1,1,0,Semi-Furnished,58.0,25000.0
Hinjewadi,Pune,895.0,2,2,0,Unfurnished,22.0,20000.0
Najafgarh,New Delhi,550.0,1,1,0,Semi-Furnished,33.0,18000.0
MR Society,Mumbai,750.0,3,2,0,Semi-Furnished,29.0,22000.0
EON Free Zone,Pune,1300.0,3,3,2,Furnished,37.0,48000.0
Vasanth Nagar,Bangalore,400.0,1,1,0,Unfurnished,39.0,15500.0
Sakkardara,Nagpur,1200.0,3,3,4,Unfurnished,10.0,12000.0
Malad East,Mumbai,350.0,1,2,0,Unfurnished,120.0,42000.0
Chembur,Mumbai,500.0,2,2,0,Semi-Furnished,90.0,45000.0
Kurla East,Mumbai,570.0,2,2,0,Unfurnished,88.0,50000.0
Vile Parle East,Mumbai,876.0,2,2,0,Semi-Furnished,126.0,110000.0
Sarjapur,Bangalore,1750.0,3,3,0,Semi-Furnished,18.0,32000.0
Papareddipalya,Bangalore,600.0,1,1,0,Unfurnished,12.0,7500.0
Goregaon East,Mumbai,2053.0,4,5,2,Semi-Furnished,161.0,330000.0
Silver Oak Layout,Bangalore,1200.0,2,2,3,Semi-Furnished,28.0,33000.0
Hinjewadi,Pune,650.0,1,2,0,Furnished,23.0,15000.0
Geeta Nagar Mira Road East,Mumbai,510.0,1,1,0,Unfurnished,26.0,13500.0
Indira Nagar,Bangalore,4541.0,4,5,4,Unfurnished,61.0,280000.0
Commerzone IT Park,Pune,630.0,1,1,2,Unfurnished,24.0,15000.0
LBS Road,Mumbai,748.0,2,2,0,Semi-Furnished,56.0,42000.0
Patparganj,New Delhi,1400.0,3,3,2,Semi-Furnished,36.0,50000.0
Mahadevapura,Bangalore,2000.0,4,3,4,Semi-Furnished,42.0,85000.0
Warje,Pune,510.0,1,1,0,Semi-Furnished,31.0,16000.0
Ashwini layout,Bangalore,450.0,1,1,2,Semi-Furnished,29.0,13000.0
Varthur,Bangalore,1242.0,2,2,0,Semi-Furnished,36.0,45000.0
Patel Nagar East,New Delhi,700.0,2,2,0,Semi-Furnished,20.0,14000.0
Naigaon East,Mumbai,500.0,2,2,4,Unfurnished,32.0,16000.0
Kamla Nagar,New Delhi,1000.0,3,1,0,Semi-Furnished,25.0,25000.0
Chittaranjan Park,New Delhi,500.0,1,1,0,Unfurnished,37.0,18500.0
Defence Colony,New Delhi,2500.0,3,3,2,Furnished,110.0,280000.0
Jhilmil Colony,New Delhi,360.0,1,1,0,Unfurnished,28.0,10000.0
Kundalahalli,Bangalore,3000.0,8,8,5,Semi-Furnished,42.0,130000.0
Kodathi,Bangalore,700.0,2,1,0,Semi-Furnished,23.0,16000.0
Vijayanagar,Bangalore,800.0,2,1,2,Unfurnished,25.0,20000.0
Mulund West,Mumbai,560.0,2,1,0,Unfurnished,48.0,27000.0
Moshi,Pune,455.0,1,1,0,Semi-Furnished,26.0,12000.0
Basaveshwar Nagar,Bangalore,1200.0,3,2,0,Semi-Furnished,15.0,18000.0
ITPL,Bangalore,2750.0,4,3,3,Semi-Furnished,36.0,100000.0
Sector 5 Rohini,New Delhi,700.0,1,1,0,Semi-Furnished,31.0,22000.0
Wakad,Pune,820.0,2,2,2,Furnished,37.0,30000.0
J Block Saket,New Delhi,1600.0,3,3,2,Semi-Furnished,47.0,75000.0
Electronic City,Bangalore,910.0,2,2,0,Semi-Furnished,18.0,16000.0
Bhakti Park,Mumbai,1881.0,4,4,0,Semi-Furnished,173.0,330000.0
Dahisar East,Mumbai,375.0,1,1,0,Semi-Furnished,45.0,17000.0
Murugeshpalya,Bangalore,1800.0,3,3,3,Semi-Furnished,50.0,90000.0
Bel Tarodi,Nagpur,1800.0,3,3,3,Unfurnished,13.0,23000.0
Rayasandra Main Road,Bangalore,1400.0,3,3,0,Semi-Furnished,31.0,43000.0
Sector 4 Dwarka,New Delhi,1400.0,3,3,3,Unfurnished,21.0,30000.0
Mayur Kunj,New Delhi,650.0,1,2,0,Semi-Furnished,32.0,21000.0
Vittasandra Main Road,Bangalore,1200.0,4,3,0,Semi-Furnished,33.0,40000.0
Lashkari Bagh,Nagpur,800.0,2,2,0,Unfurnished,12.0,10000.0
Andheri East,Mumbai,800.0,2,2,0,Semi-Furnished,69.0,55000.0
Vasundhara Enclave,New Delhi,1400.0,3,3,4,Semi-Furnished,29.0,40000.0
Sewri,Mumbai,1200.0,2,2,0,Semi-Furnished,100.0,120000.0
Koregaon Park,Pune,800.0,2,2,0,Furnished,81.0,65000.0
Panathur,Bangalore,1231.0,2,2,2,Furnished,32.0,40000.0
Electronics City Phase 1,Bangalore,1000.0,2,2,2,Unfurnished,27.0,27000.0
New Patel Nagar,New Delhi,410.0,1,1,0,Furnished,49.0,20000.0
Sector 5 Rohini,New Delhi,52.0,2,2,0,Furnished,481.0,25000.0
Andheri West,Mumbai,1405.0,3,3,0,Unfurnished,71.0,100000.0
Khanpur,New Delhi,200.0,1,1,0,Unfurnished,50.0,10000.0
Hadapsar Gaon,Pune,1300.0,3,3,2,Furnished,32.0,42000.0
Wakad,Pune,930.0,2,2,2,Furnished,33.0,31000.0
Tathawade,Pune,700.0,2,2,2,Unfurnished,33.0,23000.0
Janakpuri,New Delhi,19.0,3,3,2,Furnished,38.0,75000.0
Chembur,Mumbai,625.0,2,2,2,Furnished,104.0,65000.0
Hennur,Bangalore,400.0,1,1,0,Semi-Furnished,30.0,12000.0
Suyog Nagar,Nagpur,1100.0,3,4,2,Unfurnished,23.0,25000.0
EON Free Zone,Pune,2100.0,3,3,3,Unfurnished,48.0,100000.0
Trimurti Nagar,Nagpur,1007.0,1,1,2,Furnished,10.0,10000.0
Dwarka Mor,New Delhi,1500.0,3,2,0,Unfurnished,17.0,25000.0
Bandra West,Mumbai,1100.0,3,3,0,Furnished,150.0,170000.0
Kotewada,Nagpur,395.0,1,1,0,Unfurnished,13.0,5000.0
Mihan,Nagpur,1500.0,3,2,0,Unfurnished,13.0,20000.0
Mahalunge,Pune,960.0,3,2,2,Unfurnished,27.0,26000.0
Basai Darapur,New Delhi,270.0,1,1,0,Semi-Furnished,41.0,11000.0
Electronic City,Bangalore,550.0,1,1,0,Semi-Furnished,24.0,13000.0
Thanisandra,Bangalore,1200.0,3,2,0,Semi-Furnished,29.0,35000.0
Kengeri Satellite Town,Bangalore,550.0,1,1,0,Semi-Furnished,10.0,5500.0
Marathahalli,Bangalore,5.0,1,1,0,Unfurnished,2100.0,10500.0
Bannerghatta Road,Bangalore,1445.0,3,3,3,Semi-Furnished,30.0,43000.0
Handewadi,Pune,850.0,2,2,2,Semi-Furnished,16.0,14000.0
Camp,Pune,560.0,1,1,0,Furnished,41.0,23000.0
Thanisandra,Bangalore,1200.0,3,3,0,Semi-Furnished,47.0,56000.0
Horamavu Main Road,Bangalore,950.0,2,2,0,Unfurnished,30.0,28500.0
Santacruz West,Mumbai,4200.0,4,4,0,Semi-Furnished,196.0,830000.0000000001
Wathoda,Nagpur,960.0,2,2,0,Unfurnished,7.0,7000.0
Thergaon,Pune,375.0,1,1,0,Unfurnished,32.0,12000.0
Amarjyoti Layout-Domlur,Bangalore,1100.0,2,2,0,Furnished,44.0,48000.0
Basapura,Bangalore,550.0,1,1,0,Semi-Furnished,25.0,14000.0
Virar West,Mumbai,330.0,1,1,0,Unfurnished,18.0,6000.0
Kolivery Village,Mumbai,1008.0,3,3,2,Unfurnished,84.0,85000.0
Vishrantwadi,Pune,580.0,1,1,0,Unfurnished,28.0,16000.0
Madavara,Bangalore,560.0,1,1,0,Semi-Furnished,11.0,6000.0
Pandav Nagar,New Delhi,540.0,1,1,0,Unfurnished,11.0,6000.0
Najafgarh,New Delhi,450.0,2,1,0,Semi-Furnished,13.0,6000.0
Dabha,Nagpur,1000.0,2,2,5,Unfurnished,11.0,11000.0
EON Free Zone,Pune,1000.0,2,2,2,Semi-Furnished,37.0,37000.0
Green Park,New Delhi,1700.0,3,3,3,Semi-Furnished,59.0,100000.0
Shree Siddhivinayak Meera,Pune,905.0,2,2,2,Semi-Furnished,12.0,10500.0
Marathahalli,Bangalore,1365.0,2,2,0,Furnished,48.0,65000.0
Kasturi Nagar,Bangalore,2400.0,3,3,0,Semi-Furnished,31.0,75000.0
Borivali East,Mumbai,1200.0,3,3,0,Semi-Furnished,61.0,73000.0
Molarband Extension,New Delhi,450.0,1,1,0,Unfurnished,9.0,4200.0
Sarjapur Road,Bangalore,850.0,2,2,0,Semi-Furnished,39.0,33000.0
Wagholi,Pune,650.0,2,2,2,Semi-Furnished,23.0,15000.0
Jaripatka,Nagpur,1500.0,1,1,2,Unfurnished,6.0,9000.0
Narendra Nagar,Nagpur,1250.0,2,2,0,Semi-Furnished,12.0,15000.0
Parekh Nagar Kandivali West,Mumbai,750.0,2,2,0,Furnished,73.0,55000.0
Anand Nagar Dahisar East,Mumbai,450.0,1,1,0,Semi-Furnished,56.0,25000.0
Golf Course Road,New Delhi,1100.0,2,2,2,Semi-Furnished,45.0,50000.0
Pimpri Chinchwad,Pune,900.0,2,2,0,Semi-Furnished,24.0,21500.0
Hinjewadi Phase 3,Pune,698.0,2,2,0,Semi-Furnished,36.0,25000.0
Naganathapura,Bangalore,1150.0,3,3,0,Semi-Furnished,30.0,35000.0
Gandhi Vihar,New Delhi,500.0,2,1,2,Unfurnished,18.0,9000.0
Deonar,Mumbai,800.0,2,2,0,Furnished,100.0,80000.0
Mira Road,Mumbai,400.0,1,1,2,Furnished,53.0,21000.0
Chandapura,Bangalore,900.0,2,2,0,Furnished,23.0,21000.0
Nandanvan,Nagpur,800.0,2,2,2,Unfurnished,19.0,15000.0
Erandwane,Pune,250.0,1,1,0,Semi-Furnished,36.0,9000.0
Wardhaman Nagar,Nagpur,500.0,1,1,0,Semi-Furnished,14.0,7000.0
Sector 9 Rohini,New Delhi,900.0,2,2,0,Semi-Furnished,24.0,22000.0
Paschim Vihar,New Delhi,1450.0,2,2,2,Semi-Furnished,24.0,34500.0
Hebbal,Bangalore,3940.0,4,5,2,Furnished,63.0,250000.0
Premier Residencies,Mumbai,874.0,2,2,0,Unfurnished,80.0,70000.0
Rajouri Garden,New Delhi,27.0,4,4,0,Semi-Furnished,29.0,85000.0
Lulla Nagar,Pune,1160.0,3,3,0,Unfurnished,39.0,45000.0
EON Free Zone,Pune,750.0,2,2,3,Semi-Furnished,44.0,33000.0
Dange Chowk,Pune,1000.0,1,1,0,Semi-Furnished,9.0,9000.0
Ghodapdeo,Mumbai,335.0,1,1,0,Semi-Furnished,69.0,23000.0
Chhattarpur,New Delhi,750.0,2,2,0,Semi-Furnished,23.0,17500.0
Bhoslenagar Ashok Naga,Pune,1000.0,2,2,2,Furnished,45.0,45000.0
Hinjewadi,Pune,460.0,1,1,0,Furnished,30.0,14000.0
Bommasandra Jigani Link Road,Bangalore,1044.0,2,2,0,Semi-Furnished,29.0,30000.0
Kanjurmarg West,Mumbai,1085.0,3,2,0,Semi-Furnished,72.0,78000.0
Phase 7 JP Nagar,Bangalore,450.0,1,1,0,Semi-Furnished,22.0,10000.0
Worli,Mumbai,1710.0,3,4,3,Furnished,307.0,530000.0
Goregaon West,Mumbai,1072.0,3,3,2,Semi-Furnished,93.0,100000.0
Laxmi Vihar,New Delhi,540.0,2,1,0,Unfurnished,12.0,6500.0
Old Rajendra Nagar,New Delhi,810.0,2,2,0,Unfurnished,49.0,40000.0
Koramangala,Bangalore,800.0,2,2,0,Semi-Furnished,50.0,40000.0
Thanisandra Main Road,Bangalore,1390.0,3,2,2,Semi-Furnished,29.0,40000.0
Padam Nagar,New Delhi,700.0,2,2,0,Unfurnished,22.0,15500.0
Dahisar East,Mumbai,612.0,2,2,0,Semi-Furnished,74.0,45000.0
Union Park,Mumbai,1100.0,3,3,0,Semi-Furnished,64.0,70000.0
Gujarat Vihar,New Delhi,2925.0,4,4,2,Semi-Furnished,25.666666666666668,75000.0
HSR Layout,Bangalore,1400.0,3,3,3,Semi-Furnished,45.0,63000.0
Devanahalli,Bangalore,1360.0,2,2,0,Semi-Furnished,24.0,32000.0
Paschim Vihar,New Delhi,400.0,1,1,0,Furnished,48.0,19000.0
Hingna Road,Nagpur,700.0,1,1,0,Furnished,14.0,10000.0
GK II,New Delhi,2250.0,10,10,2,Unfurnished,122.0,280000.0
Thakur Complex,Mumbai,1000.0,3,3,0,Unfurnished,35.0,35000.0
Paschim Vihar,New Delhi,400.0,1,1,0,Furnished,45.0,18000.0
One North,Pune,2650.0,4,4,2,Semi-Furnished,51.0,140000.0
EON Free Zone,Pune,2200.0,3,5,2,Semi-Furnished,36.0,80000.0
Andheri West,Mumbai,840.0,3,2,0,Unfurnished,101.0,85000.0
Wadala East,Mumbai,1040.0,3,3,0,Semi-Furnished,135.0,140000.0
Hudkeshwar,Nagpur,650.0,1,1,0,Semi-Furnished,9.0,6000.0
Evershine Millennium Paradise,Mumbai,750.0,2,2,0,Semi-Furnished,80.0,60000.0
Vadgaon Budruk,Pune,700.0,2,2,2,Semi-Furnished,14.0,10000.0
Dhaka Village,New Delhi,250.0,1,1,0,Unfurnished,28.0,7000.0
Hinjewadi,Pune,400.0,2,2,0,Furnished,38.0,15000.0
Goregaon,Mumbai,1250.0,3,3,3,Semi-Furnished,72.0,90000.0
Boat Club Road,Pune,4500.0,4,4,3,Unfurnished,36.0,160000.0
Kaggadasapura,Bangalore,375.0,1,1,0,Unfurnished,25.0,9500.0
Shalimar Bagh Poorvi,New Delhi,1935.0,2,1,2,Semi-Furnished,18.0,35000.0
Hauz Khas,New Delhi,700.0,1,1,0,Unfurnished,26.0,18000.0
Hadapsar,Pune,1885.0,3,4,0,Unfurnished,40.0,75000.0
Kad Nagar,Pune,950.0,2,2,0,Unfurnished,25.0,24000.0
Kanjurmarg West,Mumbai,735.0,2,2,0,Semi-Furnished,61.0,45000.0
Sector 9 Rohini,New Delhi,1250.0,3,2,0,Semi-Furnished,44.0,55000.0
Bellandur,Bangalore,1450.0,3,2,2,Semi-Furnished,32.0,47000.0
Kishangarh Village,New Delhi,2700.0,2,2,0,Furnished,14.77777777777778,40000.0
Vasai,Mumbai,850.0,2,2,0,Furnished,35.0,30000.0
Pimple Gurav,Pune,850.0,2,2,0,Semi-Furnished,29.0,25000.0
Sector 6 Dwarka,New Delhi,1800.0,3,2,3,Semi-Furnished,20.0,36000.0
Parel Village,Mumbai,450.0,1,1,0,Semi-Furnished,116.0,52000.0
Bhajanpura,New Delhi,800.0,2,1,0,Semi-Furnished,12.0,10000.0
Juhu,Mumbai,1600.0,4,4,2,Unfurnished,175.0,280000.0
Sarjapur Road,Bangalore,2400.0,3,4,2,Semi-Furnished,25.0,59500.0
Mahavir Nagar Kandivali West,Mumbai,689.0,2,2,0,Semi-Furnished,87.0,60000.0
Halasuru,Bangalore,450.0,1,1,0,Semi-Furnished,29.0,13000.0
Chhattarpur,New Delhi,999.0,1,1,0,Semi-Furnished,9.0,9000.0
Kurla West,Mumbai,500.0,1,1,0,Semi-Furnished,130.0,65000.0
Baner,Pune,850.0,2,2,2,Furnished,41.0,35000.0
Chikkabellandur,Bangalore,2400.0,4,4,2,Semi-Furnished,21.0,50000.0
Viveka Nagar,Bangalore,600.0,1,1,0,Unfurnished,37.0,22000.0
Sector 7 Dwarka,New Delhi,1500.0,3,2,2,Unfurnished,29.0,44000.0
Ganga Vihar,New Delhi,450.0,1,1,0,Unfurnished,18.0,8000.0
Koramangala,Bangalore,2000.0,3,3,2,Semi-Furnished,40.0,80000.0
Aundh,Pune,2200.0,4,3,0,Semi-Furnished,32.0,70000.0
Marunji Road,Pune,520.0,1,1,3,Unfurnished,32.0,16500.0
Mahavir Nagar Kandivali West,Mumbai,400.0,1,1,0,Unfurnished,80.0,32000.0
Magarpatta City,Pune,1850.0,3,3,2,Furnished,39.0,72000.0
Whitefield,Bangalore,5800.0,5,6,3,Semi-Furnished,69.0,400000.0
Shakarpur Khas,New Delhi,400.0,1,1,0,Unfurnished,26.0,10500.0
Phase 7 JP Nagar,Bangalore,1000.0,2,2,0,Unfurnished,10.0,10000.0
Jadhavwadi,Pune,1000.0,2,2,0,Semi-Furnished,15.0,15000.0
Patel Nagar West,New Delhi,1125.0,2,1,0,Furnished,20.0,23000.0
Electronic City Phase 2,Bangalore,1550.0,3,3,0,Semi-Furnished,21.0,32000.0
Mankapur,Nagpur,500.0,1,1,0,Semi-Furnished,14.0,7000.0
Electronics City Phase 1,Bangalore,1345.0,2,2,2,Semi-Furnished,37.0,50000.0
Bharat Vihar,New Delhi,650.0,2,1,0,Unfurnished,22.0,14000.0
Kempapura,Bangalore,900.0,3,3,0,Semi-Furnished,20.0,18000.0
Bharat Nagar,Nagpur,1350.0,3,3,2,Furnished,26.0,35000.0
Malad West,Mumbai,690.0,2,2,0,Unfurnished,67.0,46000.0
Kasavanahalli,Bangalore,1509.0,3,3,3,Furnished,52.0,77900.0
Patel Nagar West,New Delhi,1200.0,2,2,2,Semi-Furnished,29.0,35000.0
Doddanekundi,Bangalore,1600.0,3,2,2,Semi-Furnished,47.0,75000.0
Chittaranjan Park,New Delhi,600.0,1,1,0,Unfurnished,58.0,35000.0
Wadki,Pune,470.0,1,1,0,Unfurnished,11.0,5000.0
New Ashok Nagar,New Delhi,620.0,2,2,0,Semi-Furnished,32.0,20000.0
Bagalur Main Road,Bangalore,1100.0,3,3,2,Semi-Furnished,36.0,40000.0
Vasant Kunj,New Delhi,2400.0,3,2,2,Unfurnished,33.0,80000.0
Sector D Vasant Kunj,New Delhi,900.0,2,2,0,Semi-Furnished,47.0,42000.0
Varthur,Bangalore,1260.0,2,2,2,Semi-Furnished,36.0,45000.0
Mukherjee Nagar,New Delhi,1450.0,1,3,0,Semi-Furnished,690.0,1000000.0
Gollarahatti,Bangalore,1200.0,2,1,0,Unfurnished,6.0,7500.0
Sheikh Sarai,New Delhi,2000.0,3,3,3,Semi-Furnished,33.0,65000.0
Saket,New Delhi,1100.0,2,2,2,Furnished,23.0,25000.0
Mahadevapura,Bangalore,400.0,1,1,0,Furnished,70.0,28000.0
Koregaon Park,Pune,1450.0,3,3,0,Unfurnished,45.0,65000.0
Laxmi Nagar Balewadi,Pune,832.0,2,2,2,Unfurnished,42.0,35000.0
Frazer Town,Bangalore,1700.0,3,2,0,Semi-Furnished,21.0,36000.0
Yari Road,Mumbai,850.0,3,3,0,Unfurnished,100.0,85000.0
Shastrinagar,Pune,600.0,1,1,0,Furnished,53.0,32000.0
Guru Nanak Nagar,Pune,900.0,2,2,0,Furnished,37.0,33000.0
Hennur,Bangalore,2450.0,4,4,0,Semi-Furnished,82.0,200000.0
Chandan Hola,New Delhi,1200.0,3,2,0,Semi-Furnished,23.0,27000.0
Sinhgad Road,Pune,340.0,1,1,0,Unfurnished,15.0,5000.0
Andheri East,Mumbai,750.0,2,2,0,Furnished,127.0,95000.0
Ramesh Nagar,New Delhi,900.0,2,2,0,Semi-Furnished,32.0,29000.0
Banashankari 6th Stage-11th Block,Bangalore,4000.0,6,6,0,Semi-Furnished,18.0,70000.0
Marathahalli,Bangalore,3650.0,4,4,3,Semi-Furnished,28.0,100000.0
Katraj,Pune,700.0,1,1,0,Unfurnished,17.0,12000.0
Mihan,Nagpur,1300.0,3,2,0,Furnished,15.0,20000.0
Whitefield,Bangalore,800.0,2,2,0,Semi-Furnished,25.0,20000.0
Chawri Bazar,New Delhi,80.0,2,2,0,Semi-Furnished,188.0,15000.0
Freedom Fighters Enclave,New Delhi,1800.0,3,3,0,Furnished,33.0,59500.0
Mulund West,Mumbai,1382.0,3,4,3,Unfurnished,98.0,140000.0
Andheri East,Mumbai,823.0,2,2,0,Semi-Furnished,103.0,85000.0
Khanpur,New Delhi,800.0,2,1,2,Unfurnished,17.0,13500.0
Brookefield,Bangalore,800.0,2,2,0,Semi-Furnished,38.0,30000.0
Gokul Nagar Katraj,Pune,1040.0,2,1,0,Unfurnished,27.0,28000.0
Kondhwa Budruk,Pune,1070.0,2,2,0,Unfurnished,12.0,13000.0
Kharbi,Nagpur,600.0,1,1,2,Unfurnished,8.0,5000.0
Gorai,Mumbai,1500.0,2,2,0,Semi-Furnished,30.0,45000.0
Andheri East,Mumbai,600.0,2,2,0,Furnished,18.0,11000.0
Electronic City,Bangalore,858.0,2,2,0,Semi-Furnished,38.0,33000.0
Budigere,Bangalore,1152.0,2,2,0,Semi-Furnished,26.0,30000.0
Rajouri Garden,New Delhi,800.0,2,2,0,Semi-Furnished,16.0,13000.0
Madan Park,New Delhi,1530.0,3,2,0,Semi-Furnished,22.0,34000.0
ITI Layout,Bangalore,550.0,1,1,0,Unfurnished,48.0,26666.0
Lohegaon,Pune,220.0,1,1,0,Unfurnished,27.0,6000.0
Dasarahalli Main Road,Bangalore,800.0,2,2,0,Semi-Furnished,19.0,15500.0
Gorai 1,Mumbai,644.0,2,2,0,Unfurnished,39.0,25000.0
IP Extension,New Delhi,1250.0,3,2,0,Unfurnished,20.0,25000.0
Mahalakshmi,Mumbai,350.0,1,1,0,Unfurnished,63.0,22000.0
Panjri,Nagpur,500.0,2,1,0,Unfurnished,20.0,10000.0
Narendra Nagar,Nagpur,825.0,2,2,2,Semi-Furnished,28.0,23000.0
Mulund West,Mumbai,1926.0,4,4,0,Unfurnished,104.0,200000.0
Mawal,Pune,500.0,1,1,0,Unfurnished,32.0,16000.0
Wagholi,Pune,610.0,2,1,0,Semi-Furnished,15.0,9000.0
New Friends Colony,New Delhi,4320.0,4,5,3,Semi-Furnished,37.0,160000.0
Chembur,Mumbai,950.0,3,3,0,Unfurnished,84.0,80000.0
Goregaon East,Mumbai,500.0,1,2,0,Furnished,73.0,36500.0
North Hadapsar,Pune,700.0,2,2,0,Semi-Furnished,40.0,28000.0
Thanisandra,Bangalore,2600.0,4,4,2,Furnished,135.0,350000.0
Bavdhan,Pune,2450.0,4,5,2,Semi-Furnished,31.0,75000.0
Kharadi,Pune,800.0,2,2,0,Furnished,45.0,36000.0
Goregaon West,Mumbai,775.0,2,2,0,Semi-Furnished,101.0,78000.0
Bagalur Main Road,Bangalore,999.0,2,2,2,Semi-Furnished,25.0,25000.0
Electronic City,Bangalore,2900.0,4,4,3,Semi-Furnished,12.0,35000.0
Pisoli,Pune,700.0,2,2,0,Unfurnished,19.0,13000.0
Katraj,Pune,560.0,1,1,0,Unfurnished,18.0,10000.0
Dhayari,Pune,100.0,1,1,0,Furnished,25.0,2500.0
Ashram,New Delhi,100.0,1,1,0,Semi-Furnished,150.0,15000.0
Whitefield,Bangalore,1600.0,3,3,2,Unfurnished,44.0,70000.0
Battarahalli,Bangalore,1764.0,3,3,2,Semi-Furnished,28.0,50000.0
Undri,Pune,630.0,2,2,2,Unfurnished,23.0,14700.0
Nehru Nagar,Bangalore,1568.0,3,3,0,Furnished,32.0,50000.0
Thanisandra Main Road,Bangalore,1180.0,2,2,0,Semi-Furnished,32.0,38000.0
Kiwale,Pune,700.0,2,2,0,Unfurnished,29.0,20000.0
Malad East,Mumbai,1030.0,3,3,4,Furnished,87.0,90000.0
Bhakti Park,Mumbai,800.0,2,2,0,Furnished,100.0,80000.0
Saket,New Delhi,800.0,2,2,0,Semi-Furnished,23.0,18000.0
Block 4th Jayanagar,Bangalore,650.0,1,1,0,Semi-Furnished,18.0,12000.0
Kandivali East,Mumbai,763.0,2,2,0,Unfurnished,79.0,60000.0
Goregaon West,Mumbai,750.0,2,2,0,Furnished,107.0,80000.0
Bannerghatta Road,Bangalore,1810.0,3,3,2,Semi-Furnished,33.0,60000.0
Pitampura,New Delhi,400.0,1,1,0,Semi-Furnished,42.0,17000.0
IP Extension,New Delhi,1150.0,4,4,0,Semi-Furnished,30.0,35000.0
Dakshinpuri,New Delhi,290.0,1,1,0,Semi-Furnished,17.0,5000.0
Bhajanpura,New Delhi,360.0,2,1,0,Unfurnished,15.0,5500.0
Chhattarpur,New Delhi,900.0,2,2,0,Semi-Furnished,20.0,18000.0
Thakur Village,Mumbai,987.0,3,3,0,Semi-Furnished,61.0,60000.0
Konanakunte,Bangalore,2000.0,4,6,2,Semi-Furnished,45.0,90000.0
Ramgad Nagar Mulund West,Mumbai,400.0,1,2,0,Unfurnished,48.0,19000.0
Tathawade,Pune,520.0,1,2,0,Unfurnished,28.0,14500.0
Chakala,Mumbai,270.0,1,1,0,Unfurnished,81.0,22000.0
Malka Ganj,New Delhi,540.0,1,2,0,Semi-Furnished,33.333333333333336,18000.0
Kalamna,Nagpur,300.0,1,1,0,Unfurnished,17.0,5000.0
Balagere,Bangalore,1250.0,3,3,0,Semi-Furnished,52.0,65000.0
Santacruz West,Mumbai,734.0,2,2,0,Semi-Furnished,157.0,120000.0
Uttam Nagar,New Delhi,900.0,3,2,2,Unfurnished,17.0,15000.0
Chembur,Mumbai,480.0,1,2,0,Unfurnished,54.0,26000.0
Punjabi Bagh,New Delhi,1305.0,2,2,2,Semi-Furnished,24.55555555555556,32000.0
Ghitorni,New Delhi,350.0,1,1,0,Unfurnished,21.0,7500.0
Shanti Park,Mumbai,500.0,1,1,0,Unfurnished,24.0,12000.0
Dhayari,Pune,750.0,2,2,0,Furnished,23.0,17000.0
Karve Nagar,Pune,1000.0,2,1,0,Unfurnished,20.0,20000.0
Chhatarpur Extension,New Delhi,200.0,1,1,0,Unfurnished,42.0,8500.0
Sector 12 Dwarka,New Delhi,1200.0,2,2,0,Semi-Furnished,28.0,33000.0
Sector 5 HSR Layout,Bangalore,900.0,2,2,0,Semi-Furnished,33.0,30000.0
Sector 5 Rohini,New Delhi,2.0,2,1,0,Unfurnished,57.0,15000.0
